Danh mục,Thành phần,Lựa chọn,Phương án thay thế,Tiêu chí,Điểm lựa chọn,Điểm thay thế,Lý do lựa chọn
Thuật toán,Hệ thống điều khiển,Differential Thrust,Mặt điều khiển,Thời gian phát triển,Xuất sắc,Kém,Triển khai nhanh hơn
Thuật toán,Thuật toán lọc,Quantum KF (Nghiên cứu),EKF (Baseline),Nhiễu phi tuyến,Xuất sắc,Trung bình,Tốt hơn cho nhiễu non-Gaussian
Thuật toán,Thuật toán lọc,Quantum KF (Nghiên cứu),EKF (Baseline),Chi phí tính toán,Kém,Xuất sắc,Cao (simulation) vs Hiệu quả
Thuật toán,Thuật toán lọc,Quantum KF (Nghiên cứu),EKF (Baseline),Tính mới,Xuất sắc,Trung bình,Đóng góp nghiên cứu vs Đã được thiết lập
Thuật toán,Thuật toán lọc,Quantum KF (Nghiên cứu),EKF (Baseline),Tính thực tiễn,Trung bình,Xuất sắc,Thử nghiệm vs Sẵn sàng sản xuất
Thuật toán,Thuật toán lọc,Quantum KF (Nghiên cứu),EKF (Baseline),Triển khai,Chỉ shadow mode,Navigation chính,Chỉ cho mục đích nghiên cứu
Kiến trúc phần mềm,Cấu trúc,Modular Monolithic,Microservices,Sử dụng tài nguyên,Xuất sắc,Kém,Overhead thấp hơn
Kiến trúc phần mềm,Cấu trúc,Modular Monolithic,Microservices,Độ phức tạp phát triển,Xuất sắc,Kém,Dễ debug hơn vs Giao tiếp service phức tạp
Kiến trúc phần mềm,Cấu trúc,Modular Monolithic,Microservices,Triển khai,Xuất sắc,Kém,Triển khai đơn vs Nhiều triển khai
Kiến trúc phần mềm,Cấu trúc,Modular Monolithic,Microservices,Độ tin cậy,Xuất sắc,Trung bình,Một process vs Nhiều điểm lỗi
Kiến trúc phần mềm,Cấu trúc,Modular Monolithic,Microservices,Tương thích RPi,Xuất sắc,Kém,Phù hợp tài nguyên RPi vs Quá nặng
Kiến trúc phần mềm,Ngôn ngữ lập trình,Python,C++,Tốc độ phát triển,Xuất sắc,Kém,Prototyping nhanh vs Phát triển lâu
Kiến trúc phần mềm,Ngôn ngữ lập trình,Python,C++,Thư viện AI/ML,Xuất sắc,Trung bình,Hỗ trợ xuất sắc vs Ít lựa chọn
Kiến trúc phần mềm,Ngôn ngữ lập trình,Python,C++,Hiệu suất,Trung bình,Xuất sắc,Đủ cho nhu cầu vs Hiệu suất tối đa
Kiến trúc phần mềm,Ngôn ngữ lập trình,Python,C++,Cộng đồng,Xuất sắc,Trung bình,Cộng đồng CV/AI lớn vs Nhỏ hơn
Kiến trúc phần mềm,Ngôn ngữ lập trình,Python,C++,Bảo trì,Xuất sắc,Kém,Dễ bảo trì vs Quản lý bộ nhớ phức tạp
An toàn & Độ tin cậy,Hệ thống giám sát,Software Watchdog,Hardware Watchdog,Thời gian phản hồi,Trung bình,Xuất sắc,Giây vs Mili giây
An toàn & Độ tin cậy,Hệ thống giám sát,Software Watchdog,Hardware Watchdog,Độ tin cậy,Tốt,Xuất sắc,Tốt cho software hangs vs Xuất sắc
An toàn & Độ tin cậy,Hệ thống giám sát,Software Watchdog,Hardware Watchdog,Chi phí,Xuất sắc,Trung bình,Miễn phí (phần mềm) vs Cần phần cứng
An toàn & Độ tin cậy,Hệ thống giám sát,Software Watchdog,Hardware Watchdog,Độ phức tạp,Xuất sắc,Trung bình,Triển khai đơn giản vs Tích hợp phần cứng
An toàn & Độ tin cậy,Hàng rào ảo,Polygon Geofence,Circular Geofence,Độ chính xác,Xuất sắc,Trung bình,Khớp ranh giới thực vs Quá hạn chế
An toàn & Độ tin cậy,Hàng rào ảo,Polygon Geofence,Circular Geofence,Linh hoạt,Xuất sắc,Kém,Có thể tạo hình phức tạp vs Chỉ hình tròn
An toàn & Độ tin cậy,Hàng rào ảo,Polygon Geofence,Circular Geofence,Triển khai,Trung bình,Xuất sắc,Toán học phức tạp hơn vs Kiểm tra khoảng cách đơn giản
An toàn & Độ tin cậy,Hàng rào ảo,Polygon Geofence,Circular Geofence,An toàn,Xuất sắc,Xuất sắc,Giới hạn chính xác vs An toàn nhưng không hiệu quả
